respid,y,t,w,yborn,age_1990,e_hat,m1_hat,m0_hat,psi_aipw,cate_hat
226,1,0,0.5445972257083529,1987.0,3.0,0.11279388058671388,0.14886659276467984,0.06218446886595293,-0.9703614543784712,0.05308434928061985
227,0,0,1.2038247711023995,1959.0,31.0,0.2028630381221621,0.14497296568162732,0.043084909869658704,0.1559376256226099,0.10944231543607615
228,1,0,1.2038247711023995,1982.0,8.0,0.1152466699191158,0.13505257439119914,0.10647186740756198,-0.9813370884212714,0.02763408625117253
229,1,0,1.2524284086434012,1986.0,4.0,0.09673389644439992,0.3028216627672638,0.2507824516212808,-0.777414640193631,0.07617952815611718
230,0,1,0.5011444524580629,1961.0,29.0,0.16633487084725532,0.3239505369292841,0.04739370175708989,-1.6710235806431202,0.1974507588668177
233,0,1,0.5408545025487828,1955.0,35.0,0.2249178148324946,0.135606925776219,0.040562057854516484,-0.5078728061505401,0.08279973702405924
234,0,0,1.2524284086434012,1971.0,19.0,0.13245017724629266,0.29252918043363246,0.22237213837201408,0.32647907975874824,0.12135792848000433
237,0,0,1.2038247711023995,1958.0,32.0,0.1719090105571767,0.3460117437018382,0.046817793432745794,0.35573096616422595,0.262569404771159
240,0,0,1.2524284086434012,1968.0,22.0,0.14081358348166936,0.3289892941414937,0.12453710632604983,0.349399901061086,0.293357940717784
244,0,1,0.5011444524580629,1956.0,34.0,0.21546945247573324,0.17382768258285744,0.03165553148931693,-0.664567182884367,0.16404772954172586
247,0,0,1.2075648348440184,1944.0,46.0,0.22482787270486307,0.15375216797824154,0.06776708133911631,0.17340706551700463,0.040932304072720194
248,0,0,1.2075648348440184,1954.0,36.0,0.2294456582149031,0.1522584952095645,0.02913094197897549,0.16093272854306545,0.11460755327615453
249,0,1,0.5011444524580629,1974.0,16.0,0.1392387212131343,0.20146876574305597,0.034360203735392184,-1.2798220330720298,0.32003459909596826
250,1,0,1.2038247711023995,1956.0,34.0,0.18414376940627472,0.2522823073847002,0.02717803743627911,-0.9672895931906353,0.2907273024222001
251,0,0,1.2075648348440184,1949.0,41.0,0.20433693319161345,0.18717553180392926,0.08777934847432237,0.20971844426654893,0.07786642755908481
253,0,0,1.2038247711023995,1980.0,10.0,0.10656963031409475,0.3252326548293914,0.09795547900678389,0.33691692205288304,0.359107396704581
255,0,1,0.5011444524580629,1947.0,43.0,0.21213108917734896,0.17343636023369674,0.05358020397211388,-0.6977343294436874,0.08225653448965865
256,0,0,1.2075648348440184,1936.0,54.0,0.30587324991910675,0.04445557645263271,0.04396426329343259,0.0638288279406273,-0.007406145795965801
258,0,1,0.5011444524580629,1975.0,15.0,0.1461608649540623,0.20132662373468774,0.03026803411721518,-1.2063732133344585,0.28838464731861224
260,1,0,1.2524284086434012,1988.0,2.0,0.11023869263138328,0.14886659276467984,0.10817728485617864,-0.9616275019573953,0.048276822477036734
262,0,0,1.2524284086434012,1957.0,33.0,0.21605360792119574,0.14599319205052852,0.05086887480811411,0.16001252302039398,0.14029002090493614
265,0,0,0.5011444524580629,1987.0,3.0,0.10214517297080491,0.13505257439119914,0.04914359138573695,0.1406434343959418,0.05308434928061985
267,1,1,0.5408545025487828,1965.0,25.0,0.17766584803583732,0.299388464192384,0.024628748871821194,4.218182402084167,0.29377314245461095
268,0,1,0.5011444524580629,1936.0,54.0,0.30587324991910675,0.04445557645263271,0.04396426329343259,-0.14484855054051773,-0.007406145795965801
269,0,0,1.2038247711023995,1952.0,38.0,0.23267581539409135,0.2220323272644621,0.022822961410603804,0.22895293691349522,0.15785092679393425
272,0,0,0.5011444524580629,1989.0,1.0,0.08400542961120191,0.2719716351034231,0.145625741736322,0.2853269031284477,0.154745865279956
273,0,0,1.2524284086434012,1959.0,31.0,0.1953696405723607,0.12859034523907703,0.035252015598948305,0.13714977073964707,0.10944231543607615
274,0,1,0.5011444524580629,1960.0,30.0,0.1990662789622698,0.15708527558782862,0.06572133300119108,-0.697746480367528,0.1574244786338341
275,0,1,0.5445972257083529,1949.0,41.0,0.24475352689325927,0.09826854388928007,0.04547006604607073,-0.34870153376698687,0.03355815707699575
276,0,0,1.2038247711023995,1965.0,25.0,0.18315233389058752,0.33445068925085,0.0315822371208267,0.34153201013619433,0.29377314245461095
277,0,0,1.2524284086434012,1966.0,24.0,0.14663125960022355,0.32311049298604416,0.0530285524870805,0.3322221970804718,0.28458263461300387
278,0,0,1.2524284086434012,1969.0,21.0,0.13479154142771008,0.36538396186306954,0.14810798832325037,0.3884578278731072,0.3122652156144874
279,0,0,1.2524284086434012,1968.0,22.0,0.1377171526955341,0.355822127340712,0.07346545668734276,0.3675554623456765,0.293357940717784
280,0,0,1.2038247711023995,1944.0,46.0,0.27705275148344155,0.0554747146120816,0.011738794147106026,0.05997333498061732,0.03455171485294695
281,0,1,0.5011444524580629,1954.0,36.0,0.22391726084766136,0.2046568443579437,0.02014340386730277,-0.7294707855721225,0.11460755327615453
283,1,0,1.2524284086434012,1973.0,17.0,0.12361001772081047,0.26485996813647456,0.1566744369029651,-0.8540864939485158,-0.1154133041123597
284,0,0,1.2075648348440184,1982.0,8.0,0.10152247250847879,0.3252326548293914,0.28737244946621493,0.35770398628503913,0.04770243872139411
285,0,1,0.5408545025487828,1979.0,11.0,0.10641868509977555,0.39876969450245686,0.15854139640298814,-3.506949127825125,0.28617615281356024
286,0,0,1.2524284086434012,1953.0,37.0,0.22769914310329403,0.2344046565717744,0.03708031527195619,0.24533712665519639,0.13382780835249872
287,0,0,1.2038247711023995,1948.0,42.0,0.20942994890095332,0.12427940286529263,0.08746029355314158,0.14744851328660558,0.07639730350578791
288,0,0,1.2038247711023995,1983.0,7.0,0.0990792408976443,0.3252326548293914,0.28372522732858535,0.356435488001131,0.047315634348001935
289,1,0,1.2075648348440184,1963.0,27.0,0.15896082666811862,0.3313069477930855,0.14840802540770812,-0.8296484138089693,0.10703759096828099
